date,title,amount
2026-06-24,Mercadolivre*Mercadol,"201,00"
2026-06-22,Mercadolivre*Mercadol - Parcela 1/4,"27,00"
2026-06-22,Estrela Azul,"61,82"
2026-06-22,Berzerk,"220,29"
2026-06-21,Ebn *Playstation,"69,98"
2026-06-21,Estacionamento,"22,00"
2026-06-21,Drogaria Sao Paulo,"20,97"
2026-06-19,Fidalgo Premium,"32,90"
2026-06-17,IOF de compra internacional,"4,00"
2026-06-17,Anthropic* Claude Sub,"114,44"
2026-06-15,Estrela Azul,"62,03"
2026-06-14,Wellhub Jessica de Sou,"69,99"
2026-06-13,Iwo - Verduras e Legum,"18,00"
2026-06-13,Estrela Azul,"61,64"
2026-06-13,Robertoteofiloe,"8,00"
2026-06-13,Antoniojose,"10,00"
2026-06-13,Pastel Takabowa,"24,00"
2026-06-13,Marymitikogoya,"26,00"
2026-06-13,Palomamoreira,"12,00"
2026-06-11,Mercado*Fallenstore,"158,01"
2026-06-11,Ifd*52.878.247 Jacquel,"31,32"
2026-06-10,Supermercados Carolina,"44,24"
2026-06-09,Nu Seguro Vida,"- 25,90"
2026-06-08,Kee*Roberta Aparecid,"91,99"
2026-06-08,Autoposto,"50,00"
2026-06-08,Mercearia A&S,"18,00"
2026-06-07,Apple.Com/Bill,"99,90"
2026-06-07,Cea Ari 290 Ecpc - Parcela 1/3,"126,67"
2026-06-07,Lojas Renner Fl - Parcela 1/3,"73,28"
2026-06-05,Ebn*Playstation - Parcela 1/4,"70,98"
2026-06-05,Mp *Melimais,"128,18"
2026-06-05,Apple.Com/Bill,"5,90"
2026-06-02,Mercadolivre*Mercadol,"144,90"
2026-06-02,Cinemark Aricanduva,"54,00"
2026-06-01,Centroautomotivo,"100,00"
2026-05-30,Johnnyaparecido,"27,00"
2026-05-30,Mp *11794788aleks,"16,00"
2026-05-30,Iwo - Verduras e Legum,"21,00"
2026-05-30,Mercadolivre*Mercadol,"583,99"
2026-05-29,Pagamento recebido,"- 3.480,48"
2026-05-29,Kee*Nostra Famiglia,"27,69"
2026-05-28,Satico,"39,00"
2026-05-28,Mp *Hortifrutimb,"8,00"
2026-05-28,Distribuidorade,"10,00"
2026-05-28,Frutas Sil,"15,00"
2026-05-27,Mercadolivre*Mercadoli - Parcela 2/2,"16,00"
2026-05-27,Gol Linhas A*Iiqeou019 - Parcela 2/4,"346,90"
2026-05-27,Airbnb * Hmrm8p99yy - Parcela 2/6,"241,40"
